category,term,speaker,party,critical,year,context,score,label
Invasion/Flut,Flüchtlingswelle,unbekannt,unbekannt,False,2020.0,"on Flüchtlingen nichts geleistet hätten. Dem kann  ich nur aufs Schärfste widersprechen.   Seit der Flüchtlingswelle im Jahr 2015 haben wir  Bund,  Land und Kommunen  alles in unserer Macht Stehende  getan, um Flüchtlinge aufzunehmen und menschenwürdig  unterzubri",0.9998,NON_HATE
Invasion/Flut,Flüchtlingswelle,unbekannt,unbekannt,False,2020.0,"Kommentar in der Neuen Zürcher Zeitung:   In Deutschland ist es auch fünf Jahre nach der großen  Flüchtlingswelle noch nicht möglich, ein heißes  Herz mit einem kühlen Kopf in Einklang zu bringen.  Die Lernkurve in Sachen Migration hat die Nulllinie  nicht wesent",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Volker Richter,AfD,False,2020.0,"weiterhin nicht akzeptieren.   (Beifall AfD)   Gerade die etablierten Parteien lassen ganz bewusst Parallelgesellschaften  zu und fördern damit ein Umfeld, welches  eben nicht unser Grundgesetz über alles stellt, sondern  kulturelle Traditionen, Familiengesetze oder reli",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Volker Richter,AfD,False,2020.0,"Dieses Tabu muss angesprochen  werden, weil Sie das mit einem runden Tisch nicht lösen.  Sie haben Parallelgesellschaften in Hessen, die Sie  nicht wahrnehmen.   (Zuruf SPD)    Vielleicht nehmen Sie sie auch wahr. Aber Sie gehen  nicht in die Parallelgesellschaften hine",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Volker Richter,AfD,False,2020.0,cht wahrnehmen.   (Zuruf SPD)    Vielleicht nehmen Sie sie auch wahr. Aber Sie gehen  nicht in die Parallelgesellschaften hinein.  Diese Parallelgesellschaften  bieten Unterschlupf für Gewalt. Genau diesen  Frauen möchten wir helfen. Das ist der Ansatz dieses  Antrags ,0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Volker Richter,AfD,False,2020.0,"eicht nehmen Sie sie auch wahr. Aber Sie gehen  nicht in die Parallelgesellschaften hinein.  Diese Parallelgesellschaften  bieten Unterschlupf für Gewalt. Genau diesen  Frauen möchten wir helfen. Das ist der Ansatz dieses  Antrags  nichts anderes, als diesen Frauen zu h",0.9998,NON_HATE
Bedrohungsrhetorik,Abendland,Andreas Lichert,AfD,False,2020.0,"spolitik, aber wenn es  konkret wird und ein Parkplatz abgebaut werden soll, dann  geht für Sie das Abendland unter.   (Beifall BÜNDNIS 90/DIE GRÜNEN und CDU   Zurufe BÜNDNIS 90/DIE GRÜNEN)    Ich weiß nicht, worum es geht, aber gut.  (Marcus Bocklet (BÜNDN",0.9998,NON_HATE
Islamisierung,Islamisierung,unbekannt,unbekannt,False,2021.0,"vereinzelt BÜNDNIS 90/DIEGRÜNEN und SPD)   Wer von importiertem Antisemitismus redet, vor einer  Islamisierung warnt und von einem Bevölkerungsaustausch  schwadroniert, wie das die Mitglieder der AfD, aber  auch andere Akteure und bestimmte Medien tun, lenkt",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Arno Enners,AfD,False,2021.0,)   Folgen nicht ausreichender Sprachkenntnisse sind die soziale  Ausgrenzung und die Förderung von Parallelgesellschaften.  Deswegen sollte der Fokus in der Sprachbildung  erst einmal auf der deutschen Sprache liegen.   (Beifall AfD)   Meine Damen und Herren der SPD-Frak,0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,unbekannt,unbekannt,False,2021.0,"ir können jedoch beobachten, dass, angefacht durch die  aus dem Ruder laufende Integrationspolitik, Parallelgesellschaften  entstanden sind,   (Saadet Sönmez (DIE LINKE): Ach ja?)   in denen die Eltern nur über das Sozialamt und die Kinder  oftmals erst über die Schulpfli",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,unbekannt,unbekannt,False,2021.0,"gemessen werden,  wo man sich zum Teil abends nicht mehr auf die Straße  traut und man unverhohlen Parallelgesellschaften zulässt.   (Beifall AfD)   Wir als Alternative für Deutschland stellen an dieser Stelle  klar, dass wir eine solche Politik definitiv ablehnen, und",0.9998,NON_HATE
Illegale Einreise,illegal eingereiste,Saadet Sönmez,LINKE,False,2021.0,"ehnten Anträge wegen Unzulässigkeit abgelehnt  wurden. Das sagt aber noch lange nicht aus, dass es  illegal eingereiste Menschen sind, schon gar nicht über  EU-Staaten. Das ist diesen Zahlen überhaupt nicht zu entnehmen.  Darunter sind bestimmt auch diejenigen, die aus",0.9998,NON_HATE
Invasion/Flut,Migrationswelle,unbekannt,unbekannt,False,2021.0,"efst  unsozial   (Vereinzelter Beifall AfD)   gegenüber den bei uns lebenden Bürgern und wird eine  Migrationswelle hervorrufen, welche die von 2015 weit  übertreffen kann. Wir dürfen definitiv nicht zulassen, dass  illegale Einreisen durch eine inflationäre Visave",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2022.0,"ohlbegründet,  kenntnisreich und detailliert wird an vielen historischen  Beispielen aufgezeigt, wo Massenmigration der  angestammten Wohnbevölkerung zum Nachteil gereichte.   Die Urteilsbegründung betrachtet deshalb zu Recht auch  die bundesdeutsche Wirklichkeit.",0.9998,NON_HATE
Islamisierung,Islamisierung,Dr. Frank Grobe,AfD,False,2022.0,"ert.  Eine offene Debattenkultur zu Themen wie Abtreibung,  Atomkraft, Evolution, Gender-Ideologie, Islamisierung  oder neuerdings Corona ist fast nicht mehr möglich.   (Beifall AfD)   Junge Wissenschaftler und Studenten, die dennoch über  diese Themen forschen,",0.9998,NON_HATE
Invasion/Flut,Flüchtlingswelle,unbekannt,unbekannt,False,2022.0,"üher gewünscht. Anlässe gab es in jüngster  Vergangenheit genug. Warum konnte 2015, als von einer  Flüchtlingswelle gesprochen wurde, nicht diese Richtlinie  zum Greifen kommen? Solidarität, Schutz und Unterstützung  müssen doch für alle Menschen gelten, die vor",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,2022.0,"nsam ein hessisches  Kulturfördergesetz als Beitrag zu einer systematischen  Stärkung der deutschen Leitkultur, und zwar nicht nur im  ländlichen Raum, sondern in ganz Hessen. Das würde der  Bürger positiv aufnehmen. Er fühlt sich dann nicht wieder  hinter die",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,2022.0,"Das war die Hochphase  einer ganz anderen, aber in dem Zusammenhang wichtigen  Debatte  Stichwort: Leitkultur.   Ich weiß noch wie heute, wie intensiv wir in der Partei  über diese Begrifflichkeit gesprochen haben, weil wir sehr  wohl wussten, dass auch das m",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,2022.0,"t. Daher haben wir das am Ende neu formuliert. Wir  haben, von dem ursprünglichen Begriff deutsche Leitkultur  ausgehend, gesagt: Wir drehen das um und sagen, es  sollte eine Leitkultur in Deutschland geben  was etwas  völlig anderes ist. Das erweitert den",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,2022.0,"chen Begriff deutsche Leitkultur  ausgehend, gesagt: Wir drehen das um und sagen, es  sollte eine Leitkultur in Deutschland geben  was etwas  völlig anderes ist. Das erweitert den Begriff nämlich deutlich.   (Zuruf AfD: Das ist etwas völlig anderes!)   Das",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,True,2022.0,"ogenannte Chancen-Aufenthaltsrecht der Ampel   auch Schwarz-Grün in Hessen setzt neue Anreize für  Massenmigration Drucks. 20/8808    Es beginnt der Kollege Lambrou, Fraktionsvorsitzender  der AfD. Bitte sehr.   Robert Lambrou (AfD):   Sehr geehrter Herr Präside",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Thomas Hering,CDU,False,2022.0,"tere Zurufe AfD)   Mit Ihren Kraftausdrücken, die Sie eben gerade verwendet  haben, wie den Worten Massenmigration   (Robert Lambrou (AfD): Das hat Seehofer gesagt!)   und Herrschaft des Unrechts, scheint es Ihnen ja nicht an  einer sachlichen Diskussion gelege",0.9998,NON_HATE
Invasion/Flut,Migrationswelle,unbekannt,unbekannt,False,2022.0,"nn einer  neuen Migrationspolitik.   (Beifall Freie Demokraten  Robert Lambrou (AfD):  Einer neuen Migrationswelle!)   Wir möchten ein geregeltes Einwanderungsgesetz, die AfD  anscheinend nicht.   (Robert Lambrou (AfD): Doch, das möchten wir  auch!)   Wir möchten",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2022.0,"kern den Wind aus den Segeln zu nehmen. Wer im  Zusammenhang mit dem Chancen-Aufenthaltsrecht von  Massenmigration spricht, der hat, so vermute ich, das  Gesetz nicht einmal gelesen.   (Beifall Freie Demokraten  Robert Lambrou (AfD):  Der Pull-Effekt in der Zuku",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Saadet Sönmez,LINKE,False,2022.0,"u (AfD): Sie  können Fluchtursachen nicht beseitigen!)   In dieser Situation mit einer angeblichen Massenmigration  Angst zu schüren,   (Robert Lambrou (AfD): Millionen Menschen seit  2015 sind Masseneinwanderung!)   das ist nicht nur Nonsens, das ist nicht nur d",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Rolf Kahnt,AfD,False,2022.0,"Spiel offen. Auf dem Rücken von Geflüchteten  geht sie auf Stimmenfang und schürt mit Begriffen wieMassenmigration weiterhin Ängste vor Flüchtenden und  Migranten. Die AfD-Fraktion hört nicht damit auf, zu hetzen  und unsere Gesellschaft spalten zu wollen, und si",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Rolf Kahnt,AfD,False,2022.0,"raft gesetzt werden.   (Robert Lambrou (AfD): Stand heute!)   Somit kann überhaupt nicht von einer Massenmigration  die Rede sein. Im Gegenteil, das ist eine positive humanitäre  Initiative, die auf eine gelingende Integration abzielt.",0.9998,NON_HATE
Leitkultur,Leitkultur,Dr. Frank Grobe,AfD,False,2022.0,"e  Lager machen, hatte Herr Staatsminister Boddenberg beim  vorangegangenen Plenum offen beim Thema Leitkultur zugegeben.   (Beifall AfD)   Meine Damen und Herren, das reicht alles nicht mehr;  denn unsere Bürger stehen in den nächsten Jahren durch  Ihre über",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,unbekannt,unbekannt,False,2022.0,"ll AfD  Zuruf BÜNDNIS 90/DIE GRÜNEN:  Wieder falsch!)   Verehrte Damen und Herren, so konnten sich Parallelgesellschaften  und vielerorts kriminelle Clanstrukturen bilden,  die ihr Eigenleben führen. Durchgreifen der Justiz?   Fehlanzeige.   Es ist nicht ersichtlich, wi",0.9998,NON_HATE
Invasion/Flut,Flüchtlingswelle,Max Schad,CDU,False,2022.0,"d Totschlagargumente!)  Liebe Kolleginnen und Kollegen, das Land Hessen hat  seit der ersten großen Flüchtlingswelle im Jahr 2015 vie  le Erfahrungen gesammelt. Die Strukturen, die wir heute  haben, sind weitgehend eingespielt. Trotzdem bleiben in  solch dynamischen",0.9998,NON_HATE
Überfremdung,Überfremdung,Turgut Yüksel,SPD,True,2022.0,"viele seien. Wenn es um Arbeitsplätze geht, reden Sie davon,  dass es zu viele seien. Sie reden von Überfremdung.  Sie reden immer von Fremden. Sie vergessen dabei aber,  dass 90 % der Müllmänner aus Frankfurt Migranten sind.  Auch deren Kinder diskriminieren Si",0.9998,NON_HATE
Leitkultur,Leitkultur,unbekannt,unbekannt,False,2022.0,"f Thomas Hering  (CDU))   Da muss man halt sagen: Anscheinend möchten Sie dieses  leidige Thema der Leitkultur immer wieder aufwärmen,  um dann diese inhaltsleere Debatte ins Endlose zu ziehen,  sodass eine wirkliche Erleichterung der Einbürgerung niemals  Rea",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Dirk Gaw,AfD,False,2022.0,"h etlichen Jahren die Sprache des Gastlandes  nicht versteht und sprechen kann, wer unter uns in  Parallelgesellschaften lebt und es vorzieht, die hiesigen  Sitten, Regeln, Strukturen sowie Gesetze nicht anzuwenden  bzw. nicht zu respektieren, dem ist auch mit einer  Ei",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2023.0,"d  erst gelöst werden können, wenn wir den Elefanten im  Raum sehen, und da sind offene Grenzen und Massenmigration  zu nennen.   (Elke Barth (SPD): Da haben wir Ihr Feindbild endlich  wieder!)   Solange mehr Menschen in das Land hineinströmen, als  es vertragen ka",0.9998,NON_HATE
Invasion/Flut,Migrationswelle,Thomas Hering,CDU,False,2023.0,unterhalt und auch die spätere Ausreise;  Herr Yüksel hat es angesprochen. Damit wäre eine weitere  Migrationswelle aus der Türkei nicht zu befürchten. Es  wäre auch ein schlechtes Signal; unsere Kommunen sind ja  schon am Limit.   Wenn wir den Opfern aus den Krise,0.9998,NON_HATE
Invasion/Flut,Massenmigration,Erich Heidkamp,AfD,False,2023.0,", Herr Heidkamp, für den Redebeitrag.   (Beifall AfD  Zuruf DIE LINKE: Ich tippe auf die  illegale Massenmigration!)",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Yanki Pürsün,FDP,False,2023.0,"Schutz gefährdeter  Personen, von Personen, die für unsere Sicherheit gearbeitet  haben, etwas mit Massenmigration zu tun hätte.   (Beifall Freie Demokraten, vereinzelt CDU und SPD    Robert Lambrou (AfD): Ich dachte, dass wir für  die Afghanen in Afghanistan gea",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Saadet Sönmez,LINKE,False,2023.0,"wurde  schon von Kollegin Hofmann gesagt. Gerade in diesem  Zusammenhang dann von unkontrollierter Massenmigration  und Belastung der Kommunen zu sprechen,   (Robert Lambrou (AfD): Es schafft weitere Pullfaktoren!  Die Menschen in Afghanistan bekommen das  doch m",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Thomas Hering,CDU,False,2023.0,"ört  leisten  für fünf Jahre Verpflichtungserklärungen zum Lebensunterhalt.  Von unkontrollierter Massenmigration, wie unter  Punkt 2 Ihres Antrags formuliert, kann keine Rede sein.   (Robert Lambrou (AfD): Das schafft aber Pullfaktoren!)    Ich bin noch nicht",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2023.0,leiche  Leier!  Weitere Zurufe)   Dieser Nachfrageüberhang schwillt täglich durch die ungezügelte  Massenmigration weiter an.   (Beifall AfD  René Rock (Freie Demokraten): Die  Ausländer sind schuld!  Turgut Yüksel (SPD): Jedes  Mal der gleiche Mist!  Elisabeth,0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Axel Gerntke,LINKE,False,2023.0,"all DIE LINKE)   Umgekehrt schotten sich die Wohlhabenden und Reichen  in ihren Luxusquartieren und Parallelgesellschaften immer  weiter von der übrigen Stadtgesellschaft ab. Investoren  machen fette Profite, und die Spekulation mit Grund und  Boden treibt immer absurdere",0.9998,NON_HATE
Bedrohungsrhetorik,Abendland,unbekannt,unbekannt,False,2023.0,"d allen da draußen erklären, dass mit der LINKEN  das Haus weg und die Freiheit zu Ende sei und das Abendland  untergehe, sagen Sie doch bitte einmal, wie Sie die  Welt retten wollen, ohne etwas grundlegend zu verändern.   Vizepräsidentin Karin Müller:   Frau",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Elke Barth,SPD,False,2023.0,"es etwas mit  Flüchtlingen zu tun?)    Bingo, richtig. Die Flüchtlinge  anders ausgedrückt:  die Massenmigration  hatte Herr Schulz als Grund ausgemacht.  (Jürgen Frömmrich (BÜNDNIS 90/DIE GRÜNEN):  Ach!)",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2023.0,"iellen  Protokoll:   (Zuruf AfD)   Dieser Nachfrageüberhang schwillt täglich durch die  ungezügelte Massenmigration weiter an.  Hier  liegt das Grundübel, welches es zu bekämpfen gilt.   (Bernd-Erich Vohl (AfD): So sieht es aus!)    Nein, so sieht es eben nicht a",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,2023.0,sorgung  durch unser Sozialsystem zu erreichen.   (Beifall AfD  Zuruf Turgut Yüksel (SPD))   Diese Massenmigration wird letztlich zur Zerstörung unserer  sozialen Sicherungssysteme führen müssen. Sogar  CDU-Ministerpräsident Wüst aus NRW verzichtet mittlerweile  a,0.9998,NON_HATE
Kriminalität,kriminelle Migranten,unbekannt,unbekannt,False,2023.0,"icherung der Außengrenzen,  Kürzung und Umstellung der Versorgung auf  Sachleistungen, illegale und kriminelle Migranten umgehend  abschieben  dies alles auf rechtsstaatliche Weise ,  und die Justiz wäre signifikant entlastet.   (Beifall AfD  Zuruf: So ein Quatsch!)",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,unbekannt,unbekannt,False,2023.0,"musste sogar geschlossen werden.  Viele Verfahren drohen, die Justiz wird belastet. Es  haben sich Parallelgesellschaften und kriminelle Clanstrukturen  etabliert, die ihr Eigenleben führen: viel Arbeit für  die hessische Justiz, wenn denn der Rechtsstaat ernst genommen",0.9998,NON_HATE
Invasion/Flut,Massenmigration,Robert Lambrou,AfD,False,2023.0,"ie bald nicht mehr umkehrbar.  Wir brauchen ein sofortiges Ende der unkontrollierten  und illegalen Massenmigration.   (Beifall AfD)   Wir brauchen, was Gefährder und abgelehnte Asylbewerber  betrifft, eine konsequente Abschiebungsoffensive. Wir  brauchen eine ehrl",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Daniel May,GRÜNE,False,2023.0,"eit habe nämlich ein berechtigtes Interesse  daran, der Entstehung von weltanschaulich motivierten  Parallelgesellschaften entgegenzuwirken und Minderheiten  zu integrieren. Weltanschauliche Parallelgesellschaften   das ist sicherlich etwas, was Ihnen vorschwebt. Wir wol",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,Daniel May,GRÜNE,False,2023.0,"vierten  Parallelgesellschaften entgegenzuwirken und Minderheiten  zu integrieren. Weltanschauliche Parallelgesellschaften   das ist sicherlich etwas, was Ihnen vorschwebt. Wir wollen  das Gegenteil. Wir stehen für eine offene und bunte  Gesellschaft. Diese zu verwirklic",0.9998,NON_HATE
Islamisierung,Parallelgesellschaften,unbekannt,unbekannt,False,2023.0,"nsere Kinder brauchen normalen Unterricht!? Ist es nicht  die AfD, die sonst bei jeder Gelegenheit Parallelgesellschaften  anprangert? Wollen Sie jetzt Chancengleichheit  und Bildungsgerechtigkeit dadurch verwirklichen, dass Sie  das gemeinsame Lernen mit qualifizierten",0.9998,NON_HATE
Islamisierung,Parallelgesellschaft,unbekannt,unbekannt,False,2023.0," Klaus Herrmann  (AfD): Das ist unwürdig!  Torsten Felstehausen  (DIE LINKE): Die Verfechter der Parallelgesellschaft!)   Wir wollen ihnen die Werte vermitteln, die für unser demokratisches  Gemeinwesen konstitutiv sind; denn darauf ist  unser Schulsystem von Verfass",0.9998,NON_HATE
Invasion/Flut,Massenmigration,unbekannt,unbekannt,False,,"gen Tagen auf  den Punkt. Er konstatiert einen Zusammenhang von Bil- dungskatastrophe und illegaler Massenmigration  Zitat ,  die jedes Limit sprengt.  (Beifall AfD  Zurufe SPD)  Das ist ein Faktum, das Ihre Spitzenkandidatin und an  Peinlichkeiten wohl nicht",0.9998,NON_HATE
Überfremdung,Überfremdung,Robert Lambrou,AfD,False,,"e dass die  Bürger wirklich gefragt wurden. Die Sorge vor einer nicht  mehr umkehrbaren kulturellen Überfremdung steigt,  (Unruhe)  die Sorge vor dem Verlust der Heimat, als die die Bürger  ihr schönes Deutschland kennen und schätzen, steigt  üb- rigens auch be",0.9998,NON_HATE
Invasion/Flut,Flüchtlingswelle,Nadine Gersberg,SPD,False,,seine Grenzen schließen. Wie- der verwenden Sie in diesem Zusammenhang verächtliche  Begriffe wie Flüchtlingswelle oder Überschwemmung  wie bereits 2015 und 2016.  (Robert Lambrou (AfD): Habe ich nicht! Habe ich in  meiner Rede nicht gemacht!)   In Ihre Rede n,0.9998,NON_HATE
