stratum,speaker,party,datum,ft_score,base_label,text,human_label,notes
abgeordnete,"Dr. Annett Wunder, richterliches Mitglied des Staatsgerichtshofs",,2023-03-23,0.87,NON_HATE,"Ich schwöre, dass ich gerecht richten und die Verfassung 
getreulich wahren will, so wahr mir Gott helfe.",,
abgeordnete,Dr. Matthias Büger,Freie Demokraten,2021-12-07,0.8695,NON_HATE,"Frau Präsidentin, für die Fraktion der Freien Demokraten 
bitte ich, den Dringlichen Antrag dem Kulturpolitischen 
Ausschuss zu überweisen.",,
abgeordnete,"Axel Wintermeyer, Minister und Chef der Staatskanzlei",,2022-05-31,0.8691,NON_HATE,"Herr Ministerpräsident, ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,und Bevollmächtigte des Landes Hessenbeim Bund,,2022-05-31,0.8691,NON_HATE,"Herr Ministerpräsident, ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,"Prof. Dr. Roman Poseck, Minister der Justiz",,2022-05-31,0.8691,NON_HATE,"Herr Ministerpräsident, ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,"Eva Kühne-Hörmann, Ministerin der Justiz",,2019-01-18,0.8689,NON_HATE,"Herr Ministerpräsident! Ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,Strategie und Entwicklung,,2019-01-18,0.8689,NON_HATE,"Herr Ministerpräsident! Ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,"Prof. Dr. R. Alexander Lorz, Kultusminister",,2019-01-18,0.8689,NON_HATE,"Herr Ministerpräsident! Ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,"Dr. Thomas Schäfer, Minister der Finanzen",,2019-01-18,0.8689,NON_HATE,"Herr Ministerpräsident! Ich schwöre es, so wahr mir Gott 
helfe.",,
abgeordnete,Heike Hofmann (Weiterstadt),SPD,2021-02-02,0.8686,NON_HATE,"Was ist der Inhalt der Beantwortung dieses Schreibens aus 
Ihrem Hause?",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-10-13,0.868,NON_HATE,"Vielen Dank, Herr Präsident.  Genau so haben wir uns 
verständigt: dass diejenigen, die die Reden zu Protokoll 
geben wollen, das bitte tun können.",,
abgeordnete,Ines Claus,CDU,2021-02-02,0.8659,NON_HATE,"Sehr geehrte Frau Präsidentin, meine Damen und Herren! 
Vor ziemlich genau einem Jahr haben wir an dieser Stelle 
die Generaldebatte zum Haushalt geführt. Der Ministerpräsident",,
abgeordnete,Axel Gerntke,DIE LINKE,2023-03-23,0.8643,NON_HATE,"Danke schön, Herr Präsident, dass Sie noch die Kurve 
gekriegt haben.",,
abgeordnete,"Prof. Dr. R. Alexander Lorz, Kultusminister",,2019-05-21,0.864,NON_HATE,"Herr Abg. Degen, selbstverständlich ist es die Aufgabe der 
Schulleiterinnen und Schulleiter, die Erfüllung der Schulpflicht 
vor Ort zu überwachen. Das stellen wir in keiner 
Weise infrage.",,
abgeordnete,Hildegard Förster-Heldmann,BÜNDNIS 90/DIE GRÜNEN,2020-01-29,0.8631,NON_HATE,"Sehr geehrte Kolleginnen und Kollegen! Die Uhr läuft 
nicht.  Ah jetzt, okay. Vielen Dank.",,
abgeordnete,Volker Richter,AfD,2022-11-17,0.8617,NON_HATE,Genauso war es auch bei meiner Rede zu Ihrer Aktuellen,,
abgeordnete,Robert Lambrou,AfD,2019-04-04,0.8591,NON_HATE,"Sehr geehrte Frau Präsidentin! Wir widersprechen der 
Wahl durch Handzeichen. Wir verlangen geheime Wahl.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2020-09-01,0.8545,NON_HATE,"Die Kollegin Kaya Kinkel ist heute nicht da, sie ist krank.",,
abgeordnete,Günter Rudolph,SPD,2021-05-20,0.8541,NON_HATE,"Vielleicht habe ich es überhört, aber Kollege Becher ist für 
heute auch noch entschuldigt.",,
abgeordnete,Vielen Dank.  Ich frage die Landesregierung,,2021-06-15,0.8535,NON_HATE,"Wie unterstützt sie die Schulen beim Umgang mit Antisemitismus 
an Schulen?",,
abgeordnete,"Kai Klose, Minister für Soziales und Integration",,2022-05-10,0.8532,NON_HATE,"Herr Pürsün, nein, auf diesen Gedanken bin ich nicht gekommen. 
Er wurde von niemandem jemals an mich herangetragen.",,
abgeordnete,"Angela Dorn, Ministerin für Wissenschaft und Kunst",,2022-09-20,0.8531,NON_HATE,"Genau, herzlichen Dank.  Sehr geehrter Herr Abg. Pürsün, 
das ist richtig. Die entsprechenden Kompetenzen, die 
Sie ansprechen, im Bereich der Psychiatrie werden durch 
andere Standorte zu diesem Zentrum beigesteuert.",,
abgeordnete,Holger Bellino,CDU,2022-12-06,0.8526,NON_HATE,"Frau Präsidentin, meine sehr geehrten Damen und Herren! 
Ich darf Ismail Tipi entschuldigen. Er ist im Krankenhaus. 
Die Entschuldigung gilt leider für die gesamte Plenarwoche.",,
abgeordnete,Holger Bellino,CDU,2019-02-06,0.8475,NON_HATE,"Herr Präsident, meine sehr geehrten Damen und Herren! 
Wir verweisen auf die Diskussion vorhin und werden die 
Dringlichkeit nicht bejahen.",,
abgeordnete,Torsten Warnecke,SPD,2019-10-29,0.8455,NON_HATE,"Sehr geehrter Herr Minister Dr. Schäfer, können Sie denn 
ausschließen, dass im Rahmen dieser Maßnahmen aus 
Standorten im ländlichen Raum ersatzlos Personal der 
Steuerverwaltung an andere Standorte im ländlichen Raum 
abgezogen wird?",,
abgeordnete,Lisa Gnadl,SPD,2022-07-14,0.8415,NON_HATE,"Frau Präsidentin, ich würde darum bitten, dass dieser Protokollauszug 
auch im Ältestenrat aufgerufen wird.",,
abgeordnete,Dr. Ulrich Wilken,DIE LINKE,2021-02-02,0.8413,NON_HATE,"Herr Minister, können Sie uns sagen, wie viele Mittel das 
Land Hessen für die Versorgung und die Hilfe von obdachlosen 
Menschen in Hessen in diesem Winter zur Verfügung 
gestellt hat?",,
abgeordnete,Günter Rudolph,SPD,2021-02-02,0.8405,NON_HATE,"Herr Präsident, wir wollen die Redezeit ökonomisch nutzen. 
Deswegen schlagen wir vor, diesen Dringlichen Antrag 
zusammen mit der Regierungserklärung aufzurufen.",,
abgeordnete,Christiane Böhm,DIE LINKE,2022-06-02,0.8394,NON_HATE,"#IchBinArmutsbetroffen ist, wenn die Kinder denken, 
dass du nicht gerne schwimmen gehst, weil du 
nie mitgegangen bist. Du bist aber nie mitgegangen, 
damit die Kinder schwimmen gehen konnten.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-09-20,0.8357,NON_HATE,"Frau Präsidentin, ich glaube, da ist vorhin etwas in der Zeile 
verrutscht: Wir haben uns heute Morgen darauf verständigt, 
die Novellierung des hessischen Dolmetschergesetzes 
ohne Aussprache durchzuführen und die erste Lesung des 
zweiten Gesetzes zur Änderung des Justizausbildungsgesetzes 
dann mit fünf Minuten Redezeit zu versehen.",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2020-09-01,0.8356,NON_HATE,"Herr Präsident, vielen Dank.  Wir kommen jetzt zu den",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2020-12-08,0.8328,NON_HATE,"Dann hätte ich die weitere Frage, ob es im Rahmen der 
Wirtschaftsförderung seitens des Wirtschaftsministeriums 
Kontakt mit der Wirecard AG gab.",,
abgeordnete,Dr. Frank Grobe,AfD,2022-07-12,0.8313,NON_HATE,"Ich frage die Landesregierung: Wie viele E-Autos nutzt 
sie? Wie lange fahren diese täglich?  Danke.",,
abgeordnete,Kathrin Anders,BÜNDNIS 90/DIE GRÜNEN,2022-07-14,0.8253,NON_HATE,"Sehr geehrter Herr Kollege, ich habe nur eine Frage: 
Welche Baugebiete wurden durch die Gegenstimmen der 
GRÜNEN in den Regionalversammlungen verhindert?",,
abgeordnete,Robert Lambrou,AfD,2019-04-04,0.8169,NON_HATE,"Wir sind dagegen. Wir möchten das an den Ausschuss 
überweisen.",,
abgeordnete,Dr. Daniela Sommer,SPD,2022-03-29,0.8152,NON_HATE,"Herr Präsident, wir würden auch diese Drucksache gern 
mit der Regierungserklärung aufrufen.  Danke schön.",,
abgeordnete,"Angela Dorn, Ministerin für Wissenschaft und Kunst",,2022-02-01,0.8072,NON_HATE,"Herr Abg. Naas, selbstverständlich habe ich im Ausschuss 
alles wahrheitsgemäß wiedergegeben.",,
abgeordnete,"Kai Klose, Minister für Soziales und Integration",,2022-12-06,0.8072,NON_HATE,"Herr Abgeordneter, der Landesregierung liegen keine plausiblen 
Anhaltspunkte vor, die uns erlauben würden, eine 
solche Schätzung zu treffen.",,
abgeordnete,Taylan Burcu,BÜNDNIS 90/DIE GRÜNEN,2019-10-31,0.7971,NON_HATE,"Sehr geschätzte Frau Präsidentin, liebe Kolleginnen und 
Kollegen, verehrte Gäste!",,
abgeordnete,Günter Rudolph,SPD,2020-06-24,0.7872,NON_HATE,"Herr Präsident, wir bitten, den Antrag den Haushaltsberatungen, 
Punkt 13 und weitere, zuzuweisen. Dann brauchen 
wir keine extra Redezeiten.",,
abgeordnete,Holger Bellino,CDU,2022-07-14,0.787,NON_HATE,"Herr Präsident, Sie hatten den Kollegen Kartmann doch 
erwähnt  dann hat sich meine Wortmeldung erledigt. Ich 
bitte um Nachsicht, Herr Präsident.",,
abgeordnete,Robert Lambrou,AfD,2019-04-04,0.7869,NON_HATE,"Sehr geehrte Frau Präsidentin! Die AfD-Fraktion beantragt 
einen zweiten Wahlgang und widerspricht der Abstimmung 
durch Handzeichen.",,
abgeordnete,Yanki Pürsün,Freie Demokraten,2022-12-06,0.7751,NON_HATE,"Vielen Dank, Frau Präsidentin. Vielen Dank, Herr Staatsminister. 
 Liegen diese Informationen niemandem vor, 
sodass Sie sie auch nicht erlangen könnten, oder liegen Sie 
nur Ihnen nicht vor?",,
abgeordnete,Stephan Grüger,SPD,2022-11-15,0.7716,NON_HATE,"Herr Staatsminister, vielen Dank für den Hinweis.  Dann 
frage ich es jetzt noch einmal so herum: Wie viele dieser 
genehmigten Anlagen werden denn bereits beklagt?",,
abgeordnete,Yanki Pürsün,Freie Demokraten,2020-05-26,0.7613,NON_HATE,"Warum haben Sie  trotz Kritik  die Bezeichnung Massagepraxen 
für Massagestudios verwendet und dabei die 
Physiotherapeuten in der Verordnung und in den Auslegungshinweisen 
ausgelassen?",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2022-05-10,0.761,NON_HATE,"Ist diese Firma Gewinnerin einer Ausschreibung gewesen, 
oder wie ist Ihr Haus auf diese Firma gekommen? Nach 
unserem Kenntnisstand hat die Firma mit Kultur eigentlich 
wenig zu tun.",,
abgeordnete,Yanki Pürsün,Freie Demokraten,2019-04-02,0.7483,NON_HATE,"Welche Bedeutung soll aus Sicht der Landesregierung das 
Gremium künftig haben?",,
abgeordnete,"Kai Klose, Minister für Soziales und Integration",,2020-09-01,0.7418,NON_HATE,"Das ist im Moment Gegenstand der Gespräche zwischen 
uns und dem beauftragten Institut.",,
abgeordnete,Alexander Bauer,CDU,2019-04-02,0.7404,NON_HATE,"Herr Minister, teilen Sie die Auffassung, dass dieses wichtige 
Instrument zur polizeilichen Arbeit möglichst bundesweit 
eingesetzt werden sollte, damit alle Polizeien diese 
Maßnahmen durchführen können?",,
abgeordnete,"Prof. Dr. R. Alexander Lorz, Kultusminister",,2020-01-28,0.7291,NON_HATE,"Frau Abg. Schardt-Sauer, gerade wegen des Beschlusses 
des Verwaltungsgerichts Wiesbaden ist das Besetzungsverfahren 
abgebrochen worden.",,
abgeordnete,Vielen Dank.  Ich frage die Landesregierung,,2023-07-18,0.7181,NON_HATE,"Wird sie angesichts der dauerhaft angespannten Grundwassersituation 
die Privatisierung von Wasservorkommen 
wie im Fall von Aldi im nordhessischen Breuna zukünftig 
unterbinden?",,
abgeordnete,Torsten Warnecke,SPD,2019-10-29,0.7129,NON_HATE,"Sehr geehrter Herr Staatsminister Beuth, gehen Sie davon 
aus, dass die Kommunen sich derzeit für 0,12 % am Kreditmarkt 
refinanzieren können?",,
abgeordnete,"Kai Klose, Minister für Soziales und Integration",,2022-10-11,0.7039,NON_HATE,"Herr Abgeordneter, das Wesen einer Prüfung ist es, dass 
ich ihr Ergebnis nicht vorwegnehme.",,
abgeordnete,Christoph Degen,SPD,2022-11-15,0.6947,NON_HATE,"Herr Kultusminister, sind auch Fälle darunter, dass Distanzunterricht 
deswegen erteilt wird, weil möglicherweise 
zu viele Lehrkräfte fehlen oder krank sind?",,
abgeordnete,Hermann Schaus,DIE LINKE,2019-06-19,0.6598,NON_HATE,"Herr Präsident, wir bitten darum, Ziffer 4 des Antrags der 
vier Fraktionen getrennt abzustimmen.",,
